BLAST Ortholog,Sequence Length
WP_198344015.1 IclR family transcriptional regulator [Mycobacterium dioxanotrophicus],264
WP_337424779.1 IclR family transcriptional regulator [Mycolicibacterium agri],264
AKS33779.1 hypothetical protein AFA91_19920 [Mycolicibacterium goodii],264
MDT5303475.1 hypothetical protein [Mycobacterium sp.],264
TGD86540.1 IclR family transcriptional regulator [Mycolicibacterium sp. CH28],264
WP_374159658.1 IclR family transcriptional regulator [Mycobacterium sp. G7A2],265
WP_207064704.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],265
WP_283612887.1 IclR family transcriptional regulator [Mycolicibacterium poriferae],265
WP_163676152.1 IclR family transcriptional regulator [Mycolicibacterium poriferae],265
WP_348733240.1 IclR family transcriptional regulator [uncultured Mycolicibacterium sp.],265
WP_283633940.1 IclR family transcriptional regulator [Mycolicibacterium poriferae],265
WP_239340535.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],265
MDT5189006.1 hypothetical protein [Mycobacterium sp.],265
MDT5266774.1 hypothetical protein [Mycobacterium sp.],265
WP_263994019.1 IclR family transcriptional regulator [Mycobacterium yunnanensis],265
MDT5127368.1 hypothetical protein [Mycobacterium sp.],265
WP_149372494.1 IclR family transcriptional regulator [Mycolicibacterium sp. P9-64],265
WP_068139535.1 IclR family transcriptional regulator [Mycobacterium sp. E796],265
WP_068093670.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],265
MCW2689785.1 IclR family transcriptional regulator [Mycobacterium sp.],265
WP_308479479.1 IclR family transcriptional regulator [[Mycobacterium] burgundiense],265
WP_232326889.1 IclR family transcriptional regulator [Mycobacterium sherrisii],265
WP_270714446.1 IclR family transcriptional regulator [Mycolicibacterium sp. BiH015],266
PEG42685.1 IclR family transcriptional regulator [Mycolicibacterium agri],266
MCV7183164.1 IclR family transcriptional regulator [Mycolicibacterium murale],266
HEV7361855.1 IclR family transcriptional regulator [Mycobacterium sp.],266
MDT5080589.1 hypothetical protein [Mycobacterium sp.],266
MDT5149726.1 hypothetical protein [Mycobacterium sp.],266
WP_016895390.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriales],266
HEX4391089.1 IclR family transcriptional regulator [Mycobacterium sp.],266
WP_325670418.1 IclR family transcriptional regulator [Mycobacterium sp.],267
WP_011893964.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],267
WP_013471503.1 IclR family transcriptional regulator [Mycolicibacterium gilvum],267
AKS31030.1 transcriptional regulator [Mycolicibacterium goodii],267
WP_313862809.1 IclR family transcriptional regulator [Mycobacterium sp.],267
HEV7579284.1 IclR family transcriptional regulator [Mycobacterium sp.],267
WP_409551190.1 IclR family transcriptional regulator [Mycolicibacterium septicum],267
WP_235653999.1 IclR family transcriptional regulator [Mycolicibacterium houstonense],267
WP_276126817.1 IclR family transcriptional regulator [Mycolicibacterium septicum],267
WP_273733281.1 IclR family transcriptional regulator [Mycolicibacterium septicum],267
WP_235732735.1 IclR family transcriptional regulator [Mycolicibacterium septicum],267
WP_317158882.1 IclR family transcriptional regulator [Mycobacterium sp. 21AC1],268
WP_353361335.1 IclR family transcriptional regulator [Mycobacterium sp.],268
OBB09642.1 IclR family transcriptional regulator [Mycobacteriaceae bacterium 1482268.1],268
HZN80871.1 IclR family transcriptional regulator [Mycobacterium sp.],268
HEX2401249.1 IclR family transcriptional regulator [Mycobacterium sp.],268
HEY6576889.1 IclR family transcriptional regulator [Mycobacterium sp.],268
WP_155900917.1 IclR family transcriptional regulator [Mycolicibacterium sp. CBMA 226],268
WP_193488171.1 IclR family transcriptional regulator [Mycolicibacterium murale],268
WP_163907980.1 IclR family transcriptional regulator [Mycolicibacterium tokaiense],268
TSD87661.1 IclR family transcriptional regulator [Mycobacterium sp. KBS0706],268
HJT92352.1 IclR family transcriptional regulator [Mycobacterium sp.],269
WP_302913510.1 IclR family transcriptional regulator [Mycolicibacterium arseniciresistens],269
WP_264010663.1 IclR family transcriptional regulator [[Mycobacterium] manitobense],269
WP_269895370.1 IclR family transcriptional regulator [Mycobacterium hippophais],269
WP_140696980.1 IclR family transcriptional regulator [Mycolicibacterium hodleri],269
WP_073905837.1 IclR family transcriptional regulator [Mycolicibacterium sp.],269
WP_263997105.1 IclR family transcriptional regulator [Mycobacterium yunnanensis],269
WP_255507072.1 IclR family transcriptional regulator [Mycobacterium sp. AZCC_0083],269
WP_264041410.1 IclR family transcriptional regulator [Mycolicibacterium hodleri],269
WP_364980881.1 IclR family transcriptional regulator [Mycobacterium sp. NPDC050551],269
WP_318974255.1 IclR family transcriptional regulator [Mycolicibacterium sp. 050158],269
WP_293242185.1 IclR family transcriptional regulator [Mycolicibacterium sp.],269
WP_264069169.1 IclR family transcriptional regulator [Mycolicibacterium komossense],269
WP_255469713.1 IclR family transcriptional regulator [Mycolicibacterium sp. P1-18],269
WP_084229242.1 IclR family transcriptional regulator [Mycobacterium sherrisii],269
WP_081662220.1 IclR family transcriptional regulator [Mycobacterium simiae],269
WP_270713379.1 IclR family transcriptional regulator [Mycolicibacterium sp. BiH015],269
WP_064279511.1 IclR family transcriptional regulator [Mycolicibacterium iranicum],269
MET0450656.1 IclR family transcriptional regulator [Mycobacterium sp.],270
WP_149481160.1 IclR family transcriptional regulator [Mycolicibacterium sp. P1-18],270
WP_142554632.1 IclR family transcriptional regulator [Mycolicibacterium hodleri],270
WP_355215920.1 IclR family transcriptional regulator [Mycobacterium sp. NPDC006124],270
WP_079927567.1 IclR family transcriptional regulator [Mycobacterium sp. AT1],270
MCW2518086.1 IclR family transcriptional regulator [Mycobacterium sp.],270
MCW2733162.1 IclR family transcriptional regulator [Mycobacterium sp.],270
MCW2516129.1 IclR family transcriptional regulator [Mycobacterium sp.],270
WP_241404828.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycolicibacterium],270
WP_056552950.1 IclR family transcriptional regulator [Mycobacterium sp. Root135],270
WP_049745818.1 IclR family transcriptional regulator [Mycolicibacterium goodii],270
"MDT5149930.1 IclR family transcriptional regulator, acetate operon repressor [Mycobacterium sp.]",270
HEX4559279.1 IclR family transcriptional regulator [Mycobacterium sp.],271
WP_051641569.1 IclR family transcriptional regulator [Mycobacterium triplex],271
WP_051465176.1 IclR family transcriptional regulator [Mycobacterium genavense],271
WP_084952798.1 IclR family transcriptional regulator [Mycobacterium simiae],271
HEV7583642.1 IclR family transcriptional regulator [Mycobacterium sp.],271
WP_261863722.1 IclR family transcriptional regulator [Mycobacterium montefiorense],271
WP_081662241.1 IclR family transcriptional regulator [Mycobacterium simiae],271
WP_163789663.1 IclR family transcriptional regulator [Mycobacterium stomatepiae],271
WP_082109706.1 IclR family transcriptional regulator [Mycobacterium sp. UM_Kg1],271
WP_407664076.1 IclR family transcriptional regulator [Mycolicibacterium murale],272
BBY85611.1 IclR family transcriptional regulator [Mycolicibacterium tokaiense],272
WP_085256542.1 IclR family transcriptional regulator [Mycobacterium saskatchewanense],272
WP_248606608.1 IclR family transcriptional regulator [Mycobacterium colombiense],272
WP_067001472.1 IclR family transcriptional regulator [Mycobacterium sp. 1465703.0],272
WP_112710595.1 IclR family transcriptional regulator [Mycobacterium colombiense],272
WP_066859777.1 IclR family transcriptional regulator [Mycobacterium sp. 1482292.6],272
WP_066882410.1 IclR family transcriptional regulator [Mycobacterium sp. 1245801.1],272
WP_044484843.1 IclR family transcriptional regulator [Mycobacterium colombiense],272
WP_068128186.1 IclR family transcriptional regulator [Mycobacterium sp. E796],272
WP_064954463.1 IclR family transcriptional regulator [Mycobacterium colombiense],272
WP_067020031.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],272
WP_068186611.1 IclR family transcriptional regulator [Mycobacterium sp. UM_CSW],272
WP_067156794.1 IclR family transcriptional regulator [Mycobacterium sp. 1245805.9],272
WP_068025037.1 IclR family transcriptional regulator [Mycobacterium kubicae],272
WP_068157764.1 IclR family transcriptional regulator [Mycobacterium kubicae],272
ART70785.1 IclR family transcriptional regulator [Mycobacterium dioxanotrophicus],272
WP_068073849.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],272
WP_067116527.1 IclR family transcriptional regulator [Mycobacterium sp. 852002-51057_SCH5723018],272
OBA75822.1 IclR family transcriptional regulator [Mycobacterium sp. 1554424.7],272
"SCX24426.1 transcriptional regulator, IclR family [Mycolicibacterium fluoranthenivorans]",272
MDT5001035.1 hypothetical protein [Mycobacterium sp.],273
WP_319450186.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],273
WP_243858220.1 IclR family transcriptional regulator [Mycobacterium sp. DL440],273
WP_173007937.1 IclR family transcriptional regulator [Mycolicibacterium sp. P1-18],273
SHS23589.1 transcriptional regulator [Mycobacteroides abscessus subsp. abscessus],275
SBS76080.1 IclR-family transcriptional regulator [uncultured Mycobacterium sp.],276
WP_085166580.1 IclR family transcriptional regulator [Mycobacterium sherrisii],276
WP_267890096.1 IclR family transcriptional regulator [Mycobacteroides abscessus],276
WP_269087717.1 IclR family transcriptional regulator [Mycobacteroides abscessus],276
WP_235680646.1 IclR family transcriptional regulator [Mycobacteroides abscessus],276
WP_268803197.1 IclR family transcriptional regulator [Mycobacteroides abscessus],276
WP_014850824.1 IclR family transcriptional regulator [Mycobacteroides abscessus],276
WP_267890346.1 IclR family transcriptional regulator [Mycobacteroides abscessus],276
WP_228845529.1 IclR family transcriptional regulator [Mycobacteroides abscessus],276
WP_301683156.1 IclR family transcriptional regulator [Mycolicibacterium sp. HK-90],276
WP_236950022.1 IclR family transcriptional regulator [Mycobacterium sp. MS1601],276
MDT5104441.1 hypothetical protein [Mycobacterium sp.],277
WP_126335830.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],277
TRW81537.1 IclR family transcriptional regulator [Mycolicibacterium sp. 018/SC-01/001],277
"SHR16871.1 Putative transcriptional regulator, IclR family [Mycobacteroides abscessus subsp. abscessus]",278
MET0703931.1 IclR family transcriptional regulator [Mycobacterium sp.],278
MDT5152005.1 hypothetical protein [Mycobacterium sp.],279
WP_155940470.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacteroides],281
"WP_050979177.1 IclR family transcriptional regulator, partial [Mycolicibacterium conceptionense]",281
MCU1695166.1 IclR family transcriptional regulator [Mycobacterium sp.],282
WP_090424234.1 IclR family transcriptional regulator [Mycolicibacterium nivoides],283
QRY53480.1 IclR family transcriptional regulator [Mycolicibacterium septicum],283
"MDT5148319.1 IclR family transcriptional regulator, acetate operon repressor [Mycobacterium sp.]",284
MET0703251.1 IclR family transcriptional regulator [Mycobacterium sp.],284
GKU33964.1 IclR family transcriptional regulator [Mycobacterium montefiorense],284
WP_237158546.1 IclR family transcriptional regulator [Mycolicibacterium fortuitum],284
WP_234790079.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],284
WP_237162231.1 IclR family transcriptional regulator [Mycolicibacterium fortuitum],284
WP_225506442.1 IclR family transcriptional regulator [Mycolicibacterium fortuitum],284
WP_230022133.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],284
WP_396918324.1 IclR family transcriptional regulator [Mycolicibacterium sp.],284
WP_276823698.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],284
WP_229479099.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],284
WP_102133954.1 IclR family transcriptional regulator [Mycolicibacterium fortuitum],284
WP_234789332.1 IclR family transcriptional regulator [Mycolicibacterium fortuitum],284
WP_301121841.1 IclR family transcriptional regulator [Mycolicibacterium fortuitum],284
WP_155907049.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycolicibacterium],284
WP_346407329.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],284
KAA0099485.1 IclR family transcriptional regulator [Mycolicibacterium sp. P1-18],284
WP_048896138.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],284
WP_064895894.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],284
WP_065064739.1 IclR family transcriptional regulator [Mycolicibacterium conceptionense],284
HEV7422555.1 IclR family transcriptional regulator [Mycobacterium sp.],285
WP_199179637.1 IclR family transcriptional regulator [Mycolicibacterium goodii],290
WP_255506900.1 IclR family transcriptional regulator [Mycolicibacterium sp. 018/SC-01/001],291
KMV16303.1 transcriptional regulator [Mycolicibacterium conceptionense],291
WP_246243591.1 IclR family transcriptional regulator [Mycolicibacterium murale],292
CPT77855.1 regulatory proteins IclR [Mycobacteroides abscessus],292
PJK19778.1 IclR family transcriptional regulator [Mycolicibacterium goodii],294
PEG37485.1 IclR family transcriptional regulator [Mycolicibacterium agri],295
NOR02065.1 IclR family transcriptional regulator [Mycolicibacterium fortuitum],304
MCV7066107.1 IclR family transcriptional regulator [Mycolicibacterium farcinogenes],304
MBP3086222.1 IclR family transcriptional regulator [Mycolicibacterium fortuitum],304
UBV20180.1 IclR family transcriptional regulator [Mycolicibacterium fortuitum],304
TXI57257.1 MAG: IclR family transcriptional regulator [Mycolicibacterium mageritense],304
AMD54331.1 transcriptional regulator [Mycolicibacterium fortuitum subsp. fortuitum DSM 46621 = ATCC 6841 = JCM 6387],304
HEY9267132.1 IclR family transcriptional regulator [Mycobacterium sp.],306
WP_235653652.1 IclR family transcriptional regulator [Mycolicibacter icosiumassiliensis],311
EUA14077.1 bacterial transcriptional regulator family protein [Mycobacterium xenopi 4042],380
"SHU56231.1 Putative transcriptional regulator, IclR [Mycobacteroides abscessus subsp. abscessus]",453
